,title,year,metascore,rating,certificate,voting
0,The Shawshank Redemption,1994,80.0,9.3,12,2321536
1,The Godfather,1972,100.0,9.2,16,1603427
2,The Dark Knight,2008,84.0,9.0,16,2283530
3,The Godfather: Part II,1974,90.0,9.0,12,1119769
4,12 Angry Men,1957,96.0,9.0,14,683215
5,The Lord of the Rings: The Return of the King,2003,94.0,8.9,12,1629495
6,Pulp Fiction,1994,94.0,8.9,16,1810946
7,Schindler's List,1993,94.0,8.9,12,1203841
8,Fight Club,1999,66.0,8.8,16,1838890
9,The Lord of the Rings: The Fellowship of the Ring,2001,92.0,8.8,12,1645982
10,Forrest Gump,1994,82.0,8.8,12,1790588
11,The Lord of the Rings: The Two Towers,2002,87.0,8.7,12,1473124
12,Goodfellas,1990,90.0,8.7,16,1010847
13,One Flew Over the Cuckoo's Nest,1975,83.0,8.7,12,911141
14,Hamilton,2020,90.0,8.6,12,50079
15,Gisaengchung,2019,96.0,8.6,16,524497
16,Interstellar,2014,74.0,8.6,12,1491842
17,Cidade de Deus,2002,79.0,8.6,16,694969
18,Saving Private Ryan,1998,91.0,8.6,16,1225095
19,The Green Mile,1999,61.0,8.6,16,1136180
20,Het leven is mooi,1997,59.0,8.6,AL,617799
21,Seven,1995,65.0,8.6,16,1430927
22,The Silence of the Lambs,1991,85.0,8.6,16,1259103
23,Seppuku,1962,85.0,8.6,,40694
24,Shichinin no samurai,1954,98.0,8.6,12,313385
25,It's a Wonderful Life,1946,89.0,8.6,6,397162
26,Joker,2019,59.0,8.5,16,913699
27,Vikram Vedha,2017,,8.5,,27148
28,Whiplash,2014,88.0,8.5,12,708448
29,The Intouchables,2011,57.0,8.5,12,751194
30,The Prestige,2006,66.0,8.5,12,1178938
31,The Departed,2006,85.0,8.5,16,1179450
32,The Pianist,2002,85.0,8.5,12,722509
33,Gladiator,2000,67.0,8.5,16,1330337
34,American History X,1998,62.0,8.5,16,1028008
35,Léon,1994,64.0,8.5,16,1026351
36,The Lion King,1994,88.0,8.5,AL,933635
37,Nuovo Cinema Paradiso,1988,80.0,8.5,9,228291
38,Hotaru no haka,1988,94.0,8.5,,232168
39,Casablanca,1942,100.0,8.5,AL,518081
40,Modern Times,1936,96.0,8.5,AL,215832
41,City Lights,1931,99.0,8.5,14,166279
42,Capharnaüm,2018,75.0,8.4,9,59810
43,Kimi no na wa.,2016,79.0,8.4,AL,189653
44,Dangal,2016,,8.4,9,153819
45,Avengers: Endgame,2019,78.0,8.4,12,790174
46,Django Unchained,2012,81.0,8.4,16,1344183
47,3 Idiots,2009,67.0,8.4,PG-13,340572
48,Taare Zameen Par,2007,,8.4,PG,166735
49,Das Leben der Anderen,2006,89.0,8.4,12,355832
50,Oldeuboi,2003,77.0,8.4,16,510810
51,Once Upon a Time in America,1984,,8.4,12,308406
52,The Shining,1980,66.0,8.4,16,890432
53,Apocalypse Now,1979,94.0,8.4,16,601770
54,Anand,1971,,8.4,,29649
55,Tengoku to jigoku,1963,,8.4,12,33452
56,Witness for the Prosecution,1957,,8.4,14,107726
57,Paths of Glory,1957,90.0,8.4,12,176527
58,Sunset Boulevard,1950,,8.4,18,200020
59,De dictator,1940,,8.4,14,201419
60,1917,2019,78.0,8.3,12,404435
61,Andhadhun,2018,,8.3,12,69998
62,Jagten,2012,77.0,8.3,12,277065
63,A Separation,2011,95.0,8.3,6,218081
64,Incendies,2010,80.0,8.3,16,147676
65,Babam ve Oglum,2005,,8.3,,78039
66,Inglourious Basterds,2009,69.0,8.3,16,1254846
67,Eternal Sunshine of the Spotless Mind,2004,89.0,8.3,AL,905186
68,Requiem for a Dream,2000,68.0,8.3,16,761111
69,American Beauty,1999,84.0,8.3,16,1062987
70,Good Will Hunting,1997,70.0,8.3,12,853766
71,Bacheha-Ye aseman,1997,77.0,8.3,PG,64451
72,Braveheart,1995,68.0,8.3,16,953338
73,Reservoir Dogs,1992,79.0,8.3,16,911408
74,Full Metal Jacket,1987,76.0,8.3,16,670108
75,Idi i smotri,1985,,8.3,16,57702
76,Amadeus,1984,88.0,8.3,12,366537
77,Scarface,1983,65.0,8.3,18,734596
78,Das Boot,1981,86.0,8.3,12,230198
79,Taxi Driver,1976,94.0,8.3,16,717944
80,The Sting,1973,83.0,8.3,12,239862
81,A Clockwork Orange,1971,77.0,8.3,14,752705
82,Lawrence of Arabia,1962,100.0,8.3,12,266004
83,Het appartement,1960,94.0,8.3,18,162801
84,Ikiru,1952,,8.3,12,67618
85,Ladri di biciclette,1948,,8.3,6,144970
86,Double Indemnity,1944,95.0,8.3,18,142419
87,Citizen Kane,1941,100.0,8.3,14,399256
88,Metropolis,1927,98.0,8.3,AL,158894
89,The Kid,1921,,8.3,,112042
90,Green Book,2018,69.0,8.2,12,364062
91,"Three Billboards Outside Ebbing, Missouri",2017,88.0,8.2,16,424704
92,Drishyam,2015,,8.2,12,69037
93,Mandariinid,2013,73.0,8.2,,39481
94,Gangs of Wasseypur,2012,89.0,8.2,16,81231
95,El secreto de sus ojos,2009,80.0,8.2,16,191476
96,Warrior,2011,71.0,8.2,16,433280
97,The Wolf of Wall Street,2013,75.0,8.2,16,1169473
98,There Will Be Blood,2007,93.0,8.2,16,512638
99,Pan's Labyrinth,2006,98.0,8.2,16,614980
100,V for Vendetta,2005,62.0,8.2,16,1025929
101,Rang De Basanti,2006,,8.2,16,111064
102,Der Untergang,2004,82.0,8.2,16,329268
103,A Beautiful Mind,2001,72.0,8.2,12,841863
104,L.A. Confidential,1997,90.0,8.2,12,528519
105,Eskiya,1996,,8.2,,63484
106,Heat,1995,76.0,8.2,12,571981
107,Casino,1995,73.0,8.2,16,462116
108,Unforgiven,1992,85.0,8.2,12,373219
109,Dom za vesanje,1988,,8.2,12,25464
110,Ran,1985,96.0,8.2,16,111492
111,Raging Bull,1980,89.0,8.2,16,319443
112,Stalker,1979,,8.2,,115465
113,Höstsonaten,1978,,8.2,16,25894
114,The Great Escape,1963,86.0,8.2,12,223123
115,To Kill a Mockingbird,1962,88.0,8.2,6,292263
116,Yôjinbô,1961,,8.2,12,110136
117,Oordeel te Neurenberg,1961,60.0,8.2,14,68898
118,Smultronstället,1957,88.0,8.2,12,95181
119,Det sjunde inseglet,1957,88.0,8.2,,163142
120,Du rififi chez les hommes,1955,97.0,8.2,,28192
121,Tôkyô monogatari,1953,,8.2,AL,52422
122,Rashômon,1950,98.0,8.2,12,151263
123,All About Eve,1950,98.0,8.2,,119803
124,The Treasure of the Sierra Madre,1948,98.0,8.2,18,113512
125,The Gold Rush,1925,,8.2,,99986
126,Portrait de la jeune fille en feu,2019,95.0,8.1,12,59155
127,Contratiempo,2016,,8.1,,136429
128,Ah-ga-ssi,2016,84.0,8.1,16,110696
129,Logan,2017,77.0,8.1,16,641351
130,Room,2015,86.0,8.1,12,366525
131,Relatos salvajes,2014,77.0,8.1,16,175047
132,Kis Uykusu,2014,88.0,8.1,12,45594
133,Gone Girl,2014,79.0,8.1,16,851236
134,Hacksaw Ridge,2016,71.0,8.1,16,429990
135,Binnenstebuiten,2015,94.0,8.1,AL,606044
136,12 Years a Slave,2013,96.0,8.1,16,635136
137,Rush,2013,74.0,8.1,12,429724
138,Le Mans '66,2019,81.0,8.1,6,280583
139,Spotlight,2015,93.0,8.1,6,415932
140,Prisoners,2013,70.0,8.1,16,594392
141,Gran Torino,2008,72.0,8.1,12,716262
142,Harry Potter and the Deathly Hallows: Part 2,2011,85.0,8.1,12,757030
143,Hachi,2009,,8.1,AL,250918
144,Mary and Max,2009,,8.1,,163417
145,Into the Wild,2007,73.0,8.1,12,568311
146,No Country for Old Men,2007,91.0,8.1,16,848469
147,Million Dollar Baby,2004,86.0,8.1,12,631779
148,Hotel Rwanda,2004,79.0,8.1,16,332664
149,Before Sunset,2004,90.0,8.1,AL,233902
150,Salinui chueok,2003,82.0,8.1,,135984
151,Catch Me If You Can,2002,75.0,8.1,12,820032
152,Amores perros,2000,83.0,8.1,16,222269
153,The Sixth Sense,1999,64.0,8.1,16,906074
154,The Truman Show,1998,90.0,8.1,12,929886
155,Fa yeung nin wah,2000,85.0,8.1,AL,122724
156,Trainspotting,1996,83.0,8.1,16,630962
157,Fargo,1996,85.0,8.1,16,612478
158,La haine,1995,,8.1,16,148482
159,Before Sunrise,1995,77.0,8.1,AL,269219
160,In the Name of the Father,1993,84.0,8.1,12,155661
161,Dead Poets Society,1989,79.0,8.1,AL,420615
162,Stand by Me,1986,75.0,8.1,AL,361027
163,Platoon,1986,92.0,8.1,16,378797
164,"Paris, Texas",1984,78.0,8.1,AL,89674
165,The Elephant Man,1980,78.0,8.1,12,218351
166,The Deer Hunter,1978,86.0,8.1,16,309178
167,Rocky,1976,70.0,8.1,14,514512
168,Network,1976,83.0,8.1,14,144053
169,Barry Lyndon,1975,89.0,8.1,12,148357
170,Chinatown,1974,92.0,8.1,16,291917
171,Cool Hand Luke,1967,92.0,8.1,12,160634
172,Persona,1966,86.0,8.1,12,101814
173,Andrei Rublev,1966,,8.1,,46300
174,De slag om Algiers,1966,96.0,8.1,16,52504
175,Les quatre cents coups,1959,,8.1,,104185
176,Ben Hur,1959,90.0,8.1,14,217917
177,The Bridge on the River Kwai,1957,87.0,8.1,14,202057
178,On the Waterfront,1954,91.0,8.1,,141023
179,Het loon van de Angst,1953,85.0,8.1,18,54121
180,Rebecca,1940,86.0,8.1,18,122926
181,Mr. Smith Goes to Washington,1939,73.0,8.1,AL,106194
182,Gejaagd door de wind,1939,97.0,8.1,AL,288006
183,La passion de Jeanne d'Arc,1928,,8.1,,47100
184,The General,1926,,8.1,,80408
185,The Help,2011,62.0,8.0,12,425196
